Кластер,Запит,Язык,Интент,Приоритет,Куда использовать
Основной,электросамокат после воды ремонт харьков,RU,Нужен сервис после дождя/залития,Высокий,"Title, семантика, текст"
Основной,електросамокат після води харків,UA,Ремонт после влаги в городе,Высокий,"H1, первый экран"
Основной,ремонт электросамоката после дождя,RU,Понять что делать и куда везти,Высокий,Симптомы и FAQ
Симптом,электросамокат намок не включается,RU,Не включается после воды,Высокий,Связь с не вмикається
Симптом,электросамокат после воды не заряжается,RU,Проблема зарядного порта/АКБ,Высокий,Связь с не заряджається
Причина,контроллер электросамоката после воды,RU,Плата/коррозия/короткое,Средний,Блок контролера
Причина,bms аккумулятор электросамоката вода,RU/UA,АКБ и защита после воды,Средний,Блок АКБ/BMS
Причина,мотор колесо электросамоката вода,RU,Мотор после воды,Средний,Блок мотор-колеса
Инструкция,что делать если электросамокат попал под дождь,RU,Практические действия,Высокий,Блок первых действий
Локальный,ремонт электросамоката после воды харьков,RU,Локальный сервис,Высокий,Local trust
