Кластер,Запит,Язык,Интент,Приоритет,Куда использовать
Основной,електросамокат не вмикається харків,UA,Найти сервис по симптомu полного отказа запуска,Высокий,"H1, Title, первый экран"
Основной,электросамокат не включается харьков,RU,"Найти ремонт в городе, понять цену и причину",Высокий,"Семантика/неявное покрытие, без спама в UA-тексте"
Основной,ремонт электросамоката не включается харьков,RU,Ремонт с диагностикой,Высокий,"Meta/SEO-план, возможная RU-версия"
Симптом,електросамокат не реагує на кнопку,UA,Понять причину и куда обратиться,Средний,Блок симптомов
Симптом,електросамокат не включається після зарядки,UA/RU mix,Проблема после зарядки,Средний,FAQ и диагностика
Причина,глибокий розряд акумулятора електросамоката,UA,Проверка АКБ/BMS,Средний,"Блок причин, ссылка на АКБ"
Причина,не працює дисплей електросамоката,UA,Проверка дисплея/кнопки,Средний,Диагностика
Причина,контролер електросамоката не вмикається,UA,Проверка платы управления,Средний,Ссылка на контролер
Локальный,сервіс електросамокатів харків,UA,Выбор мастерской,Высокий,Доверительный блок
Локальный,сервис электросамокатов харьков,RU,Выбор мастерской,Средний,Семантика/контентный бриф
Бренды,xiaomi ninebot kugoo не вмикається,UA/RU,Брендовые модификаторы,Низкий,Блок брендов
