cluster,query,intent,page_block,priority
Основний,ремонт гіроскутерів харків,локальний сервіс,H1 hero prices CTA,high
Основний,ремонт гироскутеров харьков,локальний сервіс,SEO text and meta,high
Основний,ремонт гіроскутера у харкові,локальний сервіс,FAQ contacts,high
Синоніми,ремонт гиробордов харьков,синонім пристрою,FAQ internal copy,medium
Синоніми,ремонт гіробордів харків,синонім пристрою,FAQ internal copy,medium
АКБ,ремонт акумулятора гіроскутера,поломка батареї,АКБ/BMS prices,high
АКБ,гіроскутер не заряджається,симптом живлення,diagnostics FAQ,high
Баланс,гіроскутер не тримає баланс,симптом балансу,diagnostics process,high
Баланс,калібрування гіроскутера,сервісна робота,diagnostics prices,medium
Мотор,ремонт мотор колеса гіроскутера,вузол,motor wheels prices,medium
Бренди,ремонт smart balance харків,брендовий запит,brands call CTA,low
Бренди,ремонт ninebot гіроскутера,брендовий запит,brands call CTA,low
