Кластер,Запит,Язык,Интент,Приоритет,Куда использовать
Основной,ремонт электросамокатов xiaomi харьков,RU,Найти сервис по Xiaomi в Харькове,Высокий,"Title, H1, semantic brief"
Основной,ремонт електросамокатів xiaomi харків,UA,Брендовый ремонт Xiaomi,Высокий,"H1, first screen"
Модель,ремонт xiaomi m365 харьков,RU,Ремонт популярной модели,Высокий,"Models block, FAQ"
Модель,ремонт xiaomi pro 2 харьков,RU,Ремонт модели Pro 2,Средний,Models block
Симптом,xiaomi m365 не заряжается,RU,Проблема зарядки,Высокий,Links to не заряджається
Симптом,xiaomi самокат не включается,RU,Проблема запуска,Высокий,Links to не вмикається
Узел,ремонт аккумулятора xiaomi m365,RU,АКБ/BMS,Средний,Battery block
Узел,ремонт контроллера xiaomi самокат,RU,Контролер,Средний,Controller block
Вода,xiaomi самокат после воды,RU,Влага/коррозия,Средний,Water block
Локальный,сервис xiaomi электросамокат харьков,RU,Выбор сервиса,Высокий,Local trust
