Priority,Cluster,Query,Lang,Intent,PageBlock,Note
P1,Основной коммерческий,ремонт акумулятора електросамоката харків,UA,Коммерческий,"Hero, Title, цены, диагностика",Главный UA запрос
P1,Основной коммерческий,ремонт аккумулятора электросамоката харьков,RU,Коммерческий,"Hero, текст, FAQ",Русский спрос учитывать аккуратно
P1,Батарея,ремонт батареї електросамоката харків,UA,Коммерческий,"Hero, диагностика, цены",Синоним аккумулятора
P1,Батарея,ремонт батареи электросамоката харьков,RU,Коммерческий,"Hero, диагностика, цены",Синоним аккумулятора
P1,Замена,заміна акумулятора електросамоката харків,UA,Коммерческий,"Цены, варианты ремонта",Важно не смешивать: ремонт или замена
P1,Замена,замена аккумулятора электросамоката харьков,RU,Коммерческий,"Цены, варианты ремонта",Важно не обещать фиксированно
P1,BMS,ремонт bms електросамоката харків,UA/RU,Технический коммерческий,"Диагностика, причины","Низкочастотный, но целевой"
P2,Быстрый разряд,електросамокат швидко розряджається харків,UA,Проблема + сервис,"Симптомы, причины",Связать с АКБ и контролером
P2,Быстрый разряд,электросамокат быстро разряжается харьков,RU,Проблема + сервис,"Симптомы, причины",Хороший хвост
P2,Не держит заряд,акумулятор електросамоката не тримає заряд,UA,Проблема,"Симптомы, FAQ",Ключевой симптом
P2,Не держит заряд,аккумулятор электросамоката не держит заряд,RU,Проблема,"Симптомы, FAQ",Ключевой симптом
P2,Глубокий разряд,електросамокат не заряджається після зими акумулятор,UA,Сезонная проблема,"Причины, что делать",Связь с предыдущей страницей
P2,Глубокий разряд,аккумулятор электросамоката глубокий разряд,RU,Технический информационный,"Диагностика, FAQ",Нужна осторожная формулировка
P2,Перепаковка,перепаковка акумулятора електросамоката,UA,Коммерческий технический,Варианты ремонта,Не обещать без проверки
P2,Перепаковка,перепаковка аккумулятора электросамоката,RU,Коммерческий технический,Варианты ремонта,Не обещать без проверки
P2,Емкость,збільшення ємності акумулятора електросамоката,UA,Модернизация,Не основной блок,Упомянуть только как отдельный запрос/будущая услуга
P3,Бренд,акумулятор xiaomi m365 ремонт,UA/RU brand,Брендовый,"Бренды, FAQ",Пока без отдельной страницы
P3,Бренд,ninebot ремонт батареи,RU brand,Брендовый,"Бренды, FAQ",Пока без отдельной страницы
P3,Бренд,kugoo ремонт аккумулятора,RU brand,Брендовый,"Бренды, FAQ",Пока без отдельной страницы
P3,Без города,чому електросамокат швидко розряджається,UA,Информационный,"FAQ, симптомы",Можно ловить информационный хвост
P3,Без города,почему электросамокат быстро разряжается,RU,Информационный,"FAQ, симптомы",Можно ловить информационный хвост
